ordinal,perturbation_id,panel,inferential_role,family,location,channel_indices,channel_names,magnitude,expected_pixel_count_rule,expected_pixels_by_size,expected_coordinates_by_size,description,applicable_tiers,tier_schedule,update_rule,gradient_tie_break,validation_probe_id,validation_pixel_counts,validation_coordinate_counts
1,SP_CENTER_R_UNIT,primary,primary,single_pixel,center,[0],"[""R""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one R-channel coordinate at center changed by one without wrap,"[""T1_primary_all_methods"",""T2_ensemble_calibration""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}},""T2_ensemble_calibration"":{""image_count"":4,""image_panel"":""ensemble_panel"",""key_repetitions"":1,""method_count"":8,""methods"":[""B01_aes_gcm"",""B04_public_high_entropy"",""B13_permutation_only"",""B16_geometry_aes_gcm"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":32,""512"":32}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
2,SP_CENTER_G_UNIT,primary,primary,single_pixel,center,[1],"[""G""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one G-channel coordinate at center changed by one without wrap,"[""T1_primary_all_methods"",""T2_ensemble_calibration""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}},""T2_ensemble_calibration"":{""image_count"":4,""image_panel"":""ensemble_panel"",""key_repetitions"":1,""method_count"":8,""methods"":[""B01_aes_gcm"",""B04_public_high_entropy"",""B13_permutation_only"",""B16_geometry_aes_gcm"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":32,""512"":32}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
3,SP_CENTER_B_UNIT,primary,primary,single_pixel,center,[2],"[""B""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one B-channel coordinate at center changed by one without wrap,"[""T1_primary_all_methods"",""T2_ensemble_calibration""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}},""T2_ensemble_calibration"":{""image_count"":4,""image_panel"":""ensemble_panel"",""key_repetitions"":1,""method_count"":8,""methods"":[""B01_aes_gcm"",""B04_public_high_entropy"",""B13_permutation_only"",""B16_geometry_aes_gcm"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":32,""512"":32}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
4,SP_QUARTER_R_UNIT,primary,primary,single_pixel,quarter,[0],"[""R""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one R-channel coordinate at quarter changed by one without wrap,"[""T1_primary_all_methods""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
5,SP_QUARTER_G_UNIT,primary,primary,single_pixel,quarter,[1],"[""G""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one G-channel coordinate at quarter changed by one without wrap,"[""T1_primary_all_methods""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
6,SP_QUARTER_B_UNIT,primary,primary,single_pixel,quarter,[2],"[""B""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one B-channel coordinate at quarter changed by one without wrap,"[""T1_primary_all_methods""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
7,SP_MAXGRAD_R_UNIT,primary,primary,single_pixel,maxgrad,[0],"[""R""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one R-channel coordinate at maxgrad changed by one without wrap,"[""T1_primary_all_methods""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
8,SP_MAXGRAD_G_UNIT,primary,primary,single_pixel,maxgrad,[1],"[""G""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one G-channel coordinate at maxgrad changed by one without wrap,"[""T1_primary_all_methods""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
9,SP_MAXGRAD_B_UNIT,primary,primary,single_pixel,maxgrad,[2],"[""B""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one B-channel coordinate at maxgrad changed by one without wrap,"[""T1_primary_all_methods""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
10,SP_MINGRAD_R_UNIT,primary,primary,single_pixel,mingrad,[0],"[""R""]",1,"min(1,H*W)","{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}",one R-channel coordinate at mingrad changed by one without wrap,"[""T1_primary_all_methods""]","{""T1_primary_all_methods"":{""image_count"":12,""image_panel"":""primary_panel"",""key_repetitions"":1,""method_count"":24,""methods"":[""B01_aes_gcm"",""B02_chacha20_poly1305"",""B03_shake_hmac"",""B04_public_high_entropy"",""B05_identity"",""B06_reversible_color"",""B07_pca_klt"",""B08_random_so3"",""B09_fixed_axis_quaternion"",""B10_caseii"",""B11_curvature_caseii"",""B12_chebyshev_only"",""B13_permutation_only"",""B14_diffusion_only"",""B15_geometry_shake_hmac"",""B16_geometry_aes_gcm"",""B17_tip_r0_emulation"",""B18_external_quaternion_feistel"",""B19_external_chaos_pd"",""B20_full_aead_explicit_preview"",""B21_public_fresh_pad"",""B22_public_wideblock_prp"",""B23_secure_fixed_header"",""B24_aes_gcm_siv""],""protocols"":[""P1_common_context"",""P2_fresh_randomness""],""sizes"":[256,512],""state_repetitions_by_size"":{""256"":2,""512"":1}}}","add the declared magnitude when representable, otherwise subtract it; modular wrap is forbidden",lexicographically smallest interior coordinate,syn_lowrank,"{""256"":1,""512"":1,""96"":1}","{""256"":1,""512"":1,""96"":1}"
